system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,agbd,bsi,class,dem,evi,mndwi,ndbi,ndvi,slope,.geo
36,0.04888558708941749,0.22328445394117005,0.12307024898311866,0.04858965270135302,0.06491014806240548,0.05718507371817789,0.11010576433599473,0.21365337135859216,0.25026244344795084,0.2629166757093251,0.28743140231157377,0.29224493366155085,191.99053955078125,-0.07805813615555901,1,325.7629,0.4164294976875891,-0.55866635,-0.099138565,0.6626945,29.969944,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.033585167342009,0.1436889062809044,0.06463874181984532,0.032094621833839966,0.04541604554893108,0.026529418271089966,0.072633339971494,0.20539556582856017,0.25970727486767353,0.261625014728725,0.28703280241737145,0.28629752239347406,319.7613974639427,-0.256336405968931,1,443.79913,0.4908026608036704,-0.53565454,-0.2832594,0.82249933,21.891298,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.03638009112897472,0.20662967840873323,0.09840532211697067,0.037156466312654256,0.05610870392266055,0.03780222169789213,0.09695605130429116,0.2808216894910412,0.34662306469920917,0.3483082440700525,0.3768967394311176,0.38000858652163033,120.047737,-0.23672096701697162,1,406.0288,0.5980259369099596,-0.5807402,-0.26834387,0.8063036,22.089931,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.03171863147445653,0.16929842823086216,0.07894799121365055,0.03480880732417723,0.05267774063537821,0.03142772744249067,0.08633772811420627,0.22307157038878372,0.2728613386447778,0.2837941012058263,0.30474739580686544,0.29597845008570167,120.034447,-0.22637449452278646,1,345.3769,0.5110824908191646,-0.5322726,-0.25520524,0.8036389,20.7298,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.03168258893100721,0.15617656078046294,0.07206768015807018,0.030980047466159302,0.045752658701881894,0.029790944815153632,0.07858319685118328,0.21898770882755253,0.2725927519136783,0.2724153363544554,0.30266558380502184,0.30288818401121687,316.699036,-0.2426984707093156,1,410.91815,0.49382398989142845,-0.54724807,-0.27670377,0.8032078,27.362114,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.030718701129849205,0.14516173149196135,0.0694925763939796,0.028752246698005808,0.04412504174076968,0.028615835146402976,0.07381277685524376,0.19932223013133638,0.24706921268408027,0.250164905491374,0.27468545003149386,0.27542051681776897,359.129791,-0.22845612550589842,1,522.11414,0.4592693316088981,-0.54321283,-0.26152542,0.7959836,19.943441,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.029691542499599724,0.1608694012792129,0.07863284287709191,0.030455070574970305,0.044805896088597905,0.03382907578987315,0.07829652455114557,0.1879748492797685,0.22761780675959453,0.23694006394120218,0.2572328831344072,0.260136754006271,213.530163910215,-0.16273445106507745,1,591.8648,0.4102144566655765,-0.55803365,-0.19659103,0.73999244,21.726042,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.0399124045578347,0.19361557151311357,0.0984544635543958,0.03907894666584389,0.05459721204658805,0.04840694514063035,0.09557554714574448,0.19579272955155633,0.2360948896718793,0.2463024613179991,0.2705216508735823,0.2658988388593426,208.839981,-0.10078145643470689,1,305.4055,0.4058185514555804,-0.58200586,-0.13413452,0.6777315,21.216467,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.031859540579877,0.1679654154302277,0.07908965547742405,0.03151234827077922,0.047278788773473183,0.03169643576078453,0.07861063959420128,0.19630162342851637,0.24056469546738748,0.24952733357902848,0.2698932792807487,0.2734532416510376,283.061951,-0.20600557401400935,1,444.14294,0.44215957157595426,-0.5666477,-0.23310803,0.7820066,24.764872,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.04277527643468092,0.21426127520117716,0.13344099818290162,0.03962455568888695,0.053320912749337326,0.04511930695693902,0.08924895048079873,0.17995465900996355,0.21901495158345655,0.225821893257631,0.25312890117793985,0.2527796316333551,143.28289677188437,-0.03146933327159161,1,211.92493,0.3819233033389346,-0.60075206,-0.0351259,0.63883036,10.150755,"{""type"":""MultiPoint"",""coordinates"":[]}"
